vietnamese,bahnaric
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",kum perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long hloh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long ROgoh wa tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long ROgoh hloh tah horn todrong pogdp Kra Yang lam noh
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long ROgoh hloh wa horn todrong pogdp Kra Yang lam noh
