bahnaric,vietnamese
ku’m perm hornet. Anih 'Long. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao perm hornet. Anih 'Long. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m hornet. Anih 'Long. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m perm Anih 'Long. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m perm hornet. 'Long. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m perm hornet. Anih ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Cực. ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m perm hornet. Anih 'Long. hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Cực. Thánh giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m perm hornet. Anih 'Long. ROgoh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Cực. Thánh ở Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Cực. Thánh ở giữa Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh wa horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
